
3/9/2026, 11:19:25 PM || GET / ::1
3/9/2026, 11:19:29 PM || GET /atif ::1
3/9/2026, 11:21:38 PM || GET /atif%20::1 ::1
3/9/2026, 11:21:54 PM || GET /atif%20::1 ::1
3/9/2026, 11:22:18 PM || GET /add/20/30/atif%20::1 ::1
3/9/2026, 11:22:23 PM || GET /add/20/30/ ::1
3/9/2026, 11:23:37 PM || GET /add/20/30/::ffff:127.0.0.1 ::1
3/9/2026, 11:26:58 PM || GET /add/20/30/ ::1
3/9/2026, 11:27:06 PM || GET / ::1
3/9/2026, 11:39:11 PM || GET / ::1
3/9/2026, 11:44:20 PM || GET /add/10/2 ::ffff:127.0.0.1
3/9/2026, 11:44:55 PM || GET / ::1
3/9/2026, 11:47:10 PM || GET / ::1
3/9/2026, 11:47:16 PM || POST / ::1
3/9/2026, 11:47:23 PM || GET / ::1
3/9/2026, 11:48:01 PM || GET /add/10/20 ::ffff:127.0.0.1
3/9/2026, 11:48:28 PM || GET /sub/10/5 ::ffff:127.0.0.1
3/9/2026, 11:51:46 PM || GET /add/5/5 ::ffff:127.0.0.1
3/9/2026, 11:52:10 PM || GET /add/200/300 ::ffff:127.0.0.1
3/9/2026, 11:52:25 PM || GET /sub/20/10 ::ffff:127.0.0.1
3/9/2026, 11:52:43 PM || GET /mul/5/5 ::ffff:127.0.0.1
